feature,importance
GK_vol_weekly,0.3621732429000996
RV_quarterly,0.08578853866501022
GK_vol,0.05815327291356912
RV_std_weekly,0.031110474511546096
GK_vol_lag1,0.027033547022290248
RV_skew_weekly,0.024285576675968427
RV_std_monthly,0.022734790739327222
RV_kurt_weekly,0.02012965234572799
RV_lag5,0.017372610245494087
RV_pos_weekly,0.016897470032013386
RV_lag2,0.014435255391083394
RV_ema_5,0.013807032435078519
RV_ema_66,0.013169379234374296
RV_sqrt_weekly,0.011085573701324097
RV_neg_monthly,0.010087179686112597
GK_vol_monthly,0.009962138903552206
RV_lag3,0.009919595327620033
RV_sqrt,0.008896652613473305
RV_weekly,0.006734010398363913
IV_90d_pc_diff_delta3,0.006490471913558458
IV_60d_call_std,0.0058158709170289865
RV_neg_weekly,0.005799648927921236
RV,0.005214427685100997
IV_90d_call_std,0.005033921623920305
RV_quad,0.005000892469626972
RV_sqrt_lag1,0.004996524913021091
IV_30d_pc_diff_delta6,0.0047301840855605865
IV_60d_put_std,0.004610181130555265
RV_ema_22,0.004504003003468698
RV_lag1,0.004354521820921774
IV_30d_call_avg,0.004350640436147222
RV_quad_lag1,0.004334224537876497
RV_pos_monthly,0.0042564037563192795
RV_quad_weekly,0.004161017501174436
IV_30d_call_std,0.004105973229639723
IV_90d_call_delta6_lag5,0.003919749602071742
IV_30d_put_std,0.003835762748459153
IV_60d_call_slope,0.003778570301881461
IV_60d_pc_diff_delta7,0.0035398397852040102
IV_90d_put_std,0.0034471325446007914
IV_60d_pc_diff_delta1,0.0032067705549995093
RV_sqrt_monthly,0.003078308559005271
IV_30d_pc_diff_delta3,0.0030508267359137522
IV_60d_pc_diff_delta3,0.0029490881756284375
IV_90d_call_delta4_lag5,0.0028444607205972655
IV_60d_call_avg,0.002767299917078754
RV_quad_monthly,0.0026676891572601944
IV_60d_put_delta9_lag5,0.0024796600429230218
IV_30d_put_delta4_lag5,0.0022782958753077235
IV_90d_pc_diff_delta1,0.0022626946532868053
IV_30d_call_slope,0.00222479107843873
IV_60d_pc_diff_delta6,0.002106143174724778
IV_60d_pc_diff_delta8,0.0020941976546180715
IV_90d_call_slope,0.0020311394028881304
IV_90d_call_delta1_lag5,0.0020131618580521335
IV_30d_pc_diff_delta7,0.0019269066564082105
IV_90d_call_avg,0.0018427810655818019
RV_monthly,0.0018091971313964126
IV_90d_pc_diff_delta8,0.0017555494998288054
IV_30d_call_delta3,0.0017513331083389907
IV_90d_pc_diff_delta7,0.0017175296994897736
IV_60d_pc_diff_delta4,0.0016950961586129998
IV_60d_pc_diff_delta5,0.0016116843765595567
IV_90d_pc_diff_delta6,0.0016113807890012033
IV_30d_pc_diff_delta8,0.0013619835404964464
IV_90d_put_slope,0.0013496910885607966
IV_90d_pc_diff_delta4,0.001340487523748546
IV_60d_call_delta7,0.001311169323264129
IV_30d_put_delta8_lag5,0.001299653426703022
IV_90d_call_delta1,0.0012753128429495223
IV_30d_pc_diff_delta5,0.001264480342633878
IV_90d_pc_diff_delta2,0.0012622682273053158
IV_30d_put_avg,0.0012465025677956326
IV_60d_put_avg,0.0012369170419065914
IV_30d_pc_diff_delta2,0.0012266994951404522
IV_30d_pc_diff_delta4,0.0011955354515271687
IV_90d_call_delta9_lag5,0.0011892188933427155
IV_30d_put_delta7,0.0011763492699177782
IV_60d_call_delta3,0.0011619186254279875
IV_30d_pc_diff_delta1,0.001137379397813099
IV_30d_pc_diff_delta9,0.0011332622603499516
IV_90d_pc_diff_delta5,0.0010830454902912318
IV_60d_call_delta3_lag5,0.0010557137395848792
IV_90d_put_delta4_lag5,0.0010043667940421968
IV_60d_call_delta4_lag5,0.0009746114513136085
IV_90d_call_delta3_lag5,0.0009468874554538592
IV_90d_call_delta2,0.0009342579564473467
IV_90d_call_delta5_lag5,0.0009287795934486714
IV_60d_put_slope,0.0009114978151578072
IV_30d_call_delta5_lag1,0.0009039171042982607
IV_90d_call_delta4,0.0008979671919005357
IV_30d_call_delta5,0.0008954009230914485
IV_30d_call_delta7_lag5,0.0008912776317766806
IV_30d_put_slope,0.0008876662865014797
IV_60d_call_delta6_lag5,0.0008329619111625826
IV_30d_call_delta1_lag5,0.0008189383178783362
IV_60d_call_delta5_lag2,0.0008099671959059664
IV_60d_pc_diff_delta9,0.0007952477547964798
IV_30d_call_delta2_lag1,0.0007907881474147279
IV_90d_call_delta6_lag1,0.0007901064747190839
IV_90d_put_delta9_lag5,0.0007818023797581033
IV_90d_call_delta2_lag5,0.0007732600346829474
IV_30d_call_delta1_lag1,0.0007663570809466089
IV_30d_put_delta4,0.0007551859026943746
IV_30d_call_delta3_lag5,0.0007248720330833506
IV_90d_put_avg,0.000702069648089597
IV_90d_put_delta8_lag5,0.0006946896098994291
IV_30d_call_delta3_lag1,0.000689768769028843
IV_90d_put_delta4,0.0006881754877267052
IV_90d_call_delta7_lag2,0.0006790930417086339
IV_60d_call_delta5,0.0006758580776693488
IV_30d_call_delta6_lag1,0.0006694764639004609
IV_90d_call_delta8_lag2,0.0006589344858513315
IV_60d_call_delta3_lag2,0.0006549811954095423
IV_90d_put_delta8,0.0006411889241496349
IV_30d_call_delta3_lag2,0.0006311674229175419
IV_90d_call_delta7,0.0006244778892727126
IV_60d_call_delta8,0.0006120272806777816
IV_60d_call_delta3_lag1,0.0006069969469636102
IV_30d_put_delta7_lag2,0.0005846687226048602
IV_60d_call_delta2,0.000584218754714106
IV_60d_put_delta5_lag5,0.000574628282788056
IV_60d_call_delta8_lag1,0.0005670656165317902
IV_30d_put_delta9_lag2,0.0005496705933610705
IV_60d_call_delta1,0.0005353063755193395
IV_90d_pc_diff_delta9,0.000525930770257681
IV_60d_put_delta4_lag5,0.0005258435468541468
IV_30d_put_delta1_lag2,0.0005248000897633852
IV_60d_put_delta7,0.000514471558308106
IV_60d_call_delta1_lag5,0.000509915430950065
IV_30d_call_delta8_lag2,0.0005014684313531945
IV_60d_put_delta5_lag2,0.00047908406611185276
IV_60d_call_delta5_lag1,0.0004765057289666665
IV_30d_call_delta2_lag5,0.0004617842986175569
IV_60d_pc_diff_delta2,0.00045138998881081503
IV_90d_call_delta4_lag1,0.0004467134533044514
IV_90d_call_delta7_lag5,0.0004372739941835068
IV_90d_call_delta8_lag5,0.00042225419358233083
IV_30d_call_delta4_lag5,0.0003844969819159473
IV_90d_call_delta8_lag1,0.00037916182035030747
IV_30d_call_delta5_lag2,0.00037154515864935557
IV_30d_call_delta9_lag5,0.00036873754075389674
IV_90d_put_delta2_lag2,0.0003555300131372572
IV_30d_put_delta9_lag1,0.0003543521825289987
IV_90d_call_delta1_lag1,0.0003522768581294847
IV_60d_put_delta1_lag1,0.00033372960595392105
IV_90d_put_delta1_lag1,0.00032255972732151496
IV_30d_call_delta8,0.00032100333051613084
IV_60d_put_delta3_lag2,0.000316898740909157
IV_90d_call_delta3_lag2,0.0003109874371558776
IV_30d_put_delta2_lag2,0.00031064740471870136
IV_90d_call_delta6_lag2,0.0003093754157092349
IV_90d_call_delta3_lag1,0.00029369554253341073
IV_90d_call_delta5_lag1,0.0002909157769253267
IV_30d_call_delta9,0.0002825532221104656
IV_60d_put_delta8_lag2,0.00027932708667831866
IV_90d_put_delta3_lag2,0.0002772260527858788
IV_60d_call_delta9_lag1,0.00026927738610247703
IV_60d_put_delta1,0.00026517757243456406
IV_30d_put_delta3_lag2,0.0002638481235821355
IV_90d_call_delta2_lag1,0.00026360815650089663
IV_60d_call_delta4_lag1,0.0002568781600298735
IV_60d_call_delta2_lag5,0.00025683272287376765
IV_90d_put_delta2_lag5,0.00025561983212088143
IV_60d_call_delta9_lag5,0.0002549141945354839
IV_30d_call_delta6_lag5,0.00025407523546855853
IV_30d_put_delta4_lag2,0.00025372207938163696
IV_30d_call_delta8_lag5,0.0002443429566641615
IV_60d_put_delta2,0.00024147517743288607
IV_30d_put_delta1_lag1,0.00023910800045253775
IV_90d_put_delta4_lag2,0.00023754017410294067
IV_90d_put_delta7_lag5,0.00023238694629217137
IV_30d_put_delta2_lag5,0.00023165421446860463
IV_60d_put_delta4_lag2,0.000230278249772502
IV_90d_call_delta2_lag2,0.00022567287791481035
IV_30d_call_delta8_lag1,0.00022536392049460723
IV_60d_put_delta3_lag5,0.00022196521154204193
IV_90d_put_delta3_lag5,0.00022138705680891844
IV_60d_call_delta7_lag2,0.00021936150832224622
IV_90d_call_delta1_lag2,0.0002184773353409635
IV_90d_put_delta5_lag1,0.00021149300609529258
IV_90d_put_delta2_lag1,0.00020900661193404483
IV_90d_put_delta7_lag2,0.0002088030737073786
IV_30d_put_delta5_lag5,0.00020773556210194405
IV_60d_put_delta3,0.00020425901821261876
IV_60d_call_delta7_lag5,0.0002011647984495577
IV_30d_put_delta7_lag5,0.00019861098513794818
IV_30d_put_delta5_lag1,0.00019851630798999945
IV_30d_call_delta9_lag1,0.00019818780986764726
IV_60d_call_delta4_lag2,0.00019774452745698805
IV_60d_put_delta5,0.00019515028383161975
IV_90d_put_delta8_lag2,0.00019358416239129516
IV_30d_call_delta9_lag2,0.0001925243451895579
IV_60d_call_delta4,0.0001911159031713424
IV_90d_put_delta1_lag2,0.0001882908270898617
IV_30d_call_delta7_lag1,0.0001847547713552838
IV_30d_call_delta4_lag2,0.00018473992970165852
IV_60d_put_delta5_lag1,0.00017606004202330025
IV_30d_call_delta2_lag2,0.00017497791423626586
IV_90d_call_delta5_lag2,0.00017185262017964614
IV_30d_call_delta4_lag1,0.00017101717729438813
IV_30d_put_delta1_lag5,0.000168670200382586
IV_60d_put_delta6_lag2,0.00016681403765964032
IV_60d_call_delta1_lag1,0.0001665388292826321
IV_30d_put_delta8_lag2,0.00016571738878022255
IV_30d_call_delta4,0.00016184584669414658
IV_60d_put_delta9,0.000160583685285693
IV_30d_call_delta7_lag2,0.000159424098661105
IV_30d_put_delta4_lag1,0.0001592638375133465
IV_30d_put_delta2,0.0001592007731898615
IV_90d_call_delta7_lag1,0.0001586782632993557
IV_90d_put_delta7_lag1,0.00015768266089726985
IV_60d_call_delta1_lag2,0.0001539012524897701
IV_30d_call_delta1_lag2,0.00015359534357529153
IV_60d_put_delta1_lag5,0.00015126483839626826
IV_60d_put_delta6_lag5,0.0001492015542711602
IV_60d_call_delta5_lag5,0.00014910762569211953
IV_30d_put_delta6,0.00014587656233519222
IV_60d_put_delta6,0.00014455954492429462
IV_30d_put_delta9_lag5,0.00014453238550606693
IV_30d_put_delta6_lag1,0.00014137731615497737
IV_60d_put_delta4,0.00014134819406121107
IV_60d_put_delta2_lag2,0.00014088613404145746
IV_90d_put_delta9_lag1,0.00014064566152633066
IV_90d_call_delta6,0.0001399650460326853
IV_90d_put_delta2,0.00013652155836899879
IV_90d_call_delta8,0.00013640388014359231
IV_30d_put_delta8,0.0001337942842463549
IV_60d_call_delta6,0.0001332898364933752
IV_90d_put_delta9,0.00013319115707211555
IV_60d_call_delta6_lag2,0.00013071439112461954
IV_30d_put_delta5,0.0001302828467033588
IV_90d_call_delta3,0.0001271817667959293
IV_30d_call_delta2,0.00012674300805503403
IV_60d_put_delta4_lag1,0.0001260421643241437
IV_90d_call_delta9_lag2,0.0001234786525620445
IV_90d_put_delta8_lag1,0.00012241439995188904
IV_90d_put_delta3,0.00011559376782649679
IV_60d_call_delta8_lag5,0.00011504747930943211
IV_90d_put_delta9_lag2,0.00011409130179255497
IV_60d_call_delta8_lag2,0.00011329402357507812
IV_90d_call_delta9,0.00011141577925395186
IV_30d_put_delta6_lag2,0.0001111579552321856
IV_90d_call_delta9_lag1,0.00010899172539983922
IV_30d_put_delta8_lag1,0.00010754642928421877
IV_30d_call_delta7,0.00010672633518037267
IV_60d_call_delta2_lag2,0.00010557911822232425
IV_60d_put_delta8,0.0001048487902081018
IV_60d_call_delta9,0.00010457510783063274
IV_60d_put_delta3_lag1,0.00010393299887778235
IV_30d_call_delta1,9.812011835757521e-05
IV_60d_put_delta2_lag1,9.624003547536929e-05
IV_30d_call_delta6,9.553959936661703e-05
IV_90d_put_delta7,9.54261427007677e-05
IV_90d_put_delta1,9.139014566991906e-05
IV_60d_call_delta9_lag2,8.953595963613667e-05
IV_90d_call_delta4_lag2,8.345140231300443e-05
IV_60d_put_delta7_lag5,8.185327440866959e-05
IV_90d_put_delta5_lag2,8.159774393626011e-05
IV_30d_put_delta3_lag1,7.915379405357409e-05
IV_60d_call_delta7_lag1,7.828841519897971e-05
IV_60d_put_delta7_lag1,7.689740349030873e-05
IV_90d_put_delta5,7.204014033330035e-05
IV_90d_put_delta1_lag5,7.1550727635927e-05
IV_60d_put_delta7_lag2,7.121329930728521e-05
IV_30d_call_delta5_lag5,7.076909062787688e-05
IV_30d_put_delta1,6.870054286943639e-05
IV_90d_put_delta6_lag5,6.782797030778406e-05
IV_60d_put_delta1_lag2,6.461222406248132e-05
IV_90d_put_delta3_lag1,6.454662832286893e-05
IV_90d_put_delta5_lag5,6.331073869279238e-05
IV_30d_put_delta9,6.273470386216595e-05
IV_30d_put_delta2_lag1,6.248254821951167e-05
IV_30d_put_delta3_lag5,6.228711430193654e-05
IV_30d_put_delta5_lag2,6.13351336770575e-05
IV_90d_put_delta4_lag1,6.0850799329409406e-05
IV_30d_put_delta3,5.9682741020495266e-05
IV_60d_put_delta2_lag5,5.865581152091616e-05
IV_90d_call_delta5,5.804426063180022e-05
IV_60d_put_delta6_lag1,5.482458234741664e-05
IV_30d_call_delta6_lag2,5.201455915945636e-05
IV_60d_put_delta9_lag1,5.175170239511414e-05
IV_90d_put_delta6_lag1,4.79897214248654e-05
IV_60d_call_delta2_lag1,4.5184824702094206e-05
IV_60d_put_delta9_lag2,4.227805741364712e-05
IV_60d_put_delta8_lag1,3.862021599732834e-05
IV_60d_put_delta8_lag5,3.807830621865515e-05
IV_30d_put_delta7_lag1,3.745914631496795e-05
IV_90d_put_delta6_lag2,2.484673461175206e-05
IV_30d_put_delta6_lag5,1.983908006909669e-05
IV_90d_put_delta6,1.7514585123510508e-05
IV_60d_call_delta6_lag1,2.795620454851465e-06
IV_call_delta7_term_curve,0.0
IV_call_delta7_term_slope,0.0
IV_call_delta9_term_curve,0.0
IV_call_delta9_term_slope,0.0
IV_call_delta6_term_curve,0.0
IV_call_delta6_term_slope,0.0
IV_call_delta8_term_slope,0.0
IV_call_delta4_term_curve,0.0
IV_call_delta1_term_slope,0.0
IV_call_delta1_term_curve,0.0
IV_call_delta2_term_slope,0.0
IV_call_delta2_term_curve,0.0
IV_call_delta3_term_slope,0.0
IV_call_delta3_term_curve,0.0
IV_call_delta4_term_slope,0.0
IV_call_delta5_term_curve,0.0
IV_call_delta5_term_slope,0.0
IV_call_delta8_term_curve,0.0
